iter	Logloss
0	0.5232224305
1	0.3993394438
2	0.3137032207
3	0.2539483992
4	0.2116520405
5	0.1811241229
6	0.159243509
7	0.1433142773
8	0.131383613
9	0.1226766419
10	0.1160177771
11	0.1104775612
12	0.1056427972
13	0.10249487
14	0.09995583216
15	0.09749095837
16	0.09557200114
17	0.0945751818
18	0.0931494228
19	0.09216918071
20	0.09153833469
21	0.0907361869
22	0.08998532613
23	0.08967588027
24	0.08912675858
25	0.08866525809
26	0.08828659455
27	0.08793896874
28	0.0875712498
29	0.08734787186
30	0.08712714275
31	0.0868778487
32	0.08675682465
33	0.08652135015
34	0.08636086464
35	0.08622414271
36	0.08602682114
37	0.08585243861
38	0.08572030981
39	0.08556766113
40	0.08541509112
41	0.0852906549
42	0.08513608694
43	0.08503525098
44	0.08492929697
45	0.08479259451
46	0.08471423507
47	0.08458350937
48	0.08450596809
49	0.08436549822
50	0.08428671161
51	0.0841853265
52	0.08410005649
53	0.08401367426
54	0.08392208616
55	0.08382567366
56	0.08374168078
57	0.08369491617
58	0.08358084281
59	0.08349137704
60	0.08340925773
61	0.083312337
62	0.08325026552
63	0.08321922978
64	0.08312782208
65	0.08303822915
66	0.08296433727
67	0.08289034486
68	0.08284291426
69	0.08278250217
70	0.0827338779
71	0.08269162973
72	0.08264332453
73	0.08257975896
74	0.08252356052
75	0.08246866345
76	0.08239041487
77	0.08235139807
78	0.08228461623
79	0.0822350653
80	0.08217707117
81	0.08208285888
82	0.0820461603
83	0.08196417888
84	0.08192684333
85	0.08186581651
86	0.08181143045
87	0.08176529845
88	0.08172877153
89	0.08168196241
90	0.08163530429
91	0.08156917214
92	0.08151770711
93	0.08144893964
94	0.0814075768
95	0.08137315591
96	0.0813191394
97	0.08127905806
98	0.08122254769
99	0.08118822336
100	0.0811235257
101	0.08101246158
102	0.08097223798
103	0.0809240671
104	0.08087767561
105	0.08082673788
106	0.08077430209
107	0.08072556853
108	0.08065091848
109	0.08058067838
110	0.08052945654
111	0.08048529704
112	0.08044077198
113	0.08040179531
114	0.08035356442
115	0.08030579686
116	0.08023295999
117	0.08017064492
118	0.08013414979
119	0.08008529147
120	0.08003050168
121	0.08000216961
122	0.07995023608
123	0.07986642957
124	0.0798160398
125	0.07976890167
126	0.07973239303
127	0.07967953563
128	0.07964391232
129	0.07955848734
130	0.07952930411
131	0.0794848907
132	0.07947020332
133	0.07941576282
134	0.07936980367
135	0.07928421338
136	0.07923620542
137	0.07919517597
138	0.07914998412
139	0.07907980839
140	0.07900003195
141	0.07895045241
142	0.07891549945
143	0.07884878556
144	0.07881332755
145	0.07878045837
146	0.07874665936
147	0.07870980978
148	0.07867487907
149	0.07860912323
150	0.07856361787
151	0.07853206038
152	0.07847445925
153	0.07843110442
154	0.07838825544
155	0.07832820972
156	0.07829625249
157	0.07826358557
158	0.07822355588
159	0.07817418337
160	0.07814112226
161	0.07809277813
162	0.07803083777
163	0.07800436656
164	0.07797793031
165	0.07793982943
166	0.077911611
167	0.07788498521
168	0.07783195257
169	0.0777874589
170	0.07775627573
171	0.07769443274
172	0.07767890612
173	0.07764151692
174	0.07760155956
175	0.07755486846
176	0.07751273115
177	0.07744612018
178	0.07740976969
179	0.0773574543
180	0.07731076121
181	0.07727755388
182	0.07723538796
183	0.07716134191
184	0.07712173025
185	0.07708075722
186	0.07706088185
187	0.07701240738
188	0.07699000676
189	0.0769494462
190	0.07692396045
191	0.07686802387
192	0.07683923761
193	0.07679267883
194	0.07678424994
195	0.07676318645
196	0.07673721155
197	0.07671958645
198	0.07665040255
199	0.07662912965
200	0.0765884002
201	0.07654230158
202	0.07644882997
203	0.07641893824
204	0.07637921135
205	0.07633902431
206	0.07632121682
207	0.07629176815
208	0.0762615037
209	0.07622361779
210	0.0761769108
211	0.07613790075
212	0.07609793941
213	0.07608263413
214	0.07605149865
215	0.07602109472
216	0.07598251263
217	0.07596847852
218	0.07590759595
219	0.07587598244
220	0.07586524447
221	0.07581794858
222	0.07577876051
223	0.07572934349
224	0.07568662961
225	0.07564789534
226	0.07560875098
227	0.07556465069
228	0.07554997444
229	0.07552961349
230	0.07550877333
231	0.07547147751
232	0.07543187777
233	0.07538130363
234	0.07534057101
235	0.07526607474
236	0.07522099972
237	0.0751688683
238	0.07513060411
239	0.0751177458
240	0.07510238091
241	0.07505728245
242	0.07498217146
243	0.07493935108
244	0.07490241329
245	0.07488728722
246	0.0748556304
247	0.07484112223
248	0.07479950349
249	0.07477483193
250	0.07473496755
251	0.07470613082
252	0.0746684436
253	0.07461801092
254	0.0746011432
255	0.07456124465
256	0.07451633215
257	0.07447562893
258	0.07444007595
259	0.07440924525
260	0.07436717351
261	0.07433323781
262	0.07426804026
263	0.07425322056
264	0.07422516028
265	0.07418345054
266	0.07413548152
267	0.0740942498
268	0.07407729705
269	0.07401227117
270	0.07398766955
271	0.0739802134
272	0.07390029589
273	0.07383759379
274	0.07378789465
275	0.07375205676
276	0.07372032166
277	0.07369378408
278	0.07365423361
279	0.07363706509
280	0.07357565602
281	0.07350868106
282	0.0734771963
283	0.07342944503
284	0.07337871869
285	0.07335847537
286	0.07332470179
287	0.07330642502
288	0.07324750662
289	0.07320789297
290	0.07318721533
291	0.07315648953
292	0.07313489715
293	0.07310526689
294	0.07306765119
295	0.07303334554
296	0.07300244053
297	0.07296393355
298	0.07290960153
299	0.07288839261
300	0.07286418517
301	0.07285310666
302	0.07284324884
303	0.07281567057
304	0.07280388395
305	0.07277570804
306	0.0727296555
307	0.07269261758
308	0.07266199907
309	0.07263246894
310	0.07259836237
311	0.07254923145
312	0.07251743833
313	0.0724877886
314	0.07244363507
315	0.07240110556
316	0.07235552828
317	0.07232334177
318	0.07228232582
319	0.07224280914
320	0.07221816897
321	0.07216564457
322	0.07212067525
323	0.07210803747
324	0.0720875144
325	0.07206735134
326	0.07205064257
327	0.07204216957
328	0.07200596134
329	0.07197949847
330	0.07192001184
331	0.07186422507
332	0.07185756207
333	0.07182796756
334	0.07179197828
335	0.07176603953
336	0.07172782063
337	0.07168834885
338	0.07165641069
339	0.071633569
340	0.07159232934
341	0.07155310273
342	0.07150420268
343	0.07149326722
344	0.07145914157
345	0.07140569329
346	0.07133720517
347	0.07131420294
348	0.07128060182
349	0.07126098514
350	0.0712199827
351	0.07118737817
352	0.07118200501
353	0.07112076124
354	0.07108814677
355	0.07105468035
356	0.07101528366
357	0.07098318974
358	0.0709507664
359	0.07093680898
360	0.07091236631
361	0.0709004275
362	0.0708723104
363	0.0708345747
364	0.07080946962
365	0.07076995134
366	0.07072710474
367	0.07069232225
368	0.07066693465
369	0.07065221906
370	0.07063234568
371	0.07062156955
372	0.07057968418
373	0.07053730051
374	0.07050650318
375	0.07046089609
376	0.07044453541
377	0.070417883
378	0.07037421147
379	0.07034114202
380	0.07031686147
381	0.07028460105
382	0.0702253902
383	0.07021071911
384	0.07018816153
385	0.07015792211
386	0.07012442191
387	0.07008222183
388	0.07005144278
389	0.07004324635
390	0.07002448241
391	0.07000397841
392	0.06996118625
393	0.06993968209
394	0.06988573869
395	0.06984703263
396	0.06979000211
397	0.06977217635
398	0.06973436832
399	0.06968738596
400	0.06963360429
401	0.06959511479
402	0.06957993587
403	0.06954894026
404	0.06951026917
405	0.06947980086
406	0.0694701453
407	0.06944092592
408	0.06940239072
409	0.06937313477
410	0.06936114271
411	0.06931489905
412	0.06930689096
413	0.0692731301
414	0.06921711286
415	0.06917039752
416	0.06912057439
417	0.06905886928
418	0.06903916041
419	0.06901744246
420	0.06899443825
421	0.06897455692
422	0.06895980597
423	0.06895324826
424	0.06891946832
425	0.06889748653
426	0.06884955804
427	0.06882619898
428	0.06880400181
429	0.06877174973
430	0.06871417403
431	0.06870234728
432	0.06867077311
433	0.06864177505
434	0.0686099267
435	0.06857437253
436	0.06856034835
437	0.06853143493
438	0.06848326524
439	0.06846372922
440	0.06842063546
441	0.06838472207
442	0.06833460967
443	0.06832811117
444	0.06830718478
445	0.06826053778
446	0.06823239326
447	0.06819169482
448	0.06818168402
449	0.06816818396
450	0.06815246503
451	0.06810239236
452	0.06807663798
453	0.06805761417
454	0.06804126064
455	0.06801096837
456	0.06797469219
457	0.06794616659
458	0.06792319338
459	0.0678818512
460	0.06785698533
461	0.06783879161
462	0.06780279795
463	0.06772544503
464	0.06770424247
465	0.06766392509
466	0.0676182572
467	0.06758095741
468	0.06753119667
469	0.06747459928
470	0.0674520572
471	0.06740270734
472	0.06736331662
473	0.06730405053
474	0.06728242318
475	0.06724599401
476	0.06721135139
477	0.06718470812
478	0.06715475559
479	0.06712777495
480	0.0670949622
481	0.06704661489
482	0.06702145418
483	0.06697615902
484	0.06693254868
485	0.06690019528
486	0.06687183976
487	0.06685081522
488	0.06684031169
489	0.06680891275
490	0.066781528
491	0.0667511634
492	0.06672620694
493	0.06669847449
494	0.06667927742
495	0.06667005698
496	0.0666505456
497	0.06658404628
498	0.06655595342
499	0.06652864059
