Technique,A,B,C
Baseline,0.8219460856202386,0.8115440087064121,0.7736725404925451
Class Weights,0.8212124646439604,0.8065817542831722,0.7496036782130394
Combined,0.8205444988208823,0.800585746618553,0.7433176517824036
Focal Loss,0.8183968275240519,0.8112498756007513,0.781570523170502
SMOTE,0.8211349520665343,0.761019328347008,0.7094201875824518
Threshold Opt.,0.821537819303539,0.8067949262806892,0.7689885456104829
