Version,AUC,F1,Signal_Significance,Train_Time_sec
A,0.8211349520665343,0.7507827235908582,178.87801859202494,734.38
B,0.761019328347008,0.3404420921544209,24.54680744186714,630.65
C,0.7094201875824518,0.1161524500907441,4.626338255341184,446.96
