Technique,A,B,C
Baseline,178.66831694323693,26.252928087277247,3.690886276957604
Class Weights,178.64464063682328,26.05397659395073,5.388093429232556
Combined,178.51147942403742,25.918757675130426,5.312915087706224
Focal Loss,170.93537890870576,26.9011765159186,5.826286925250715
SMOTE,178.87801859202494,24.54680744186714,4.626338255341184
Threshold Opt.,178.57701883792166,26.038623254505968,4.060293253991786
