Version,Technique,AUC,F1,Signal_Significance,Train_Time_sec
A,Baseline,0.8197973586710703,0.7564621787573953,177.51820549301868,1829.99
A,Class Weights,0.8195098419228097,0.7467885112438408,178.07941223825037,749.86
A,SMOTE,0.8187054215954748,0.7486129140824078,178.01510751807805,1242.22
A,Focal Loss,0.8152231825713643,0.7663777189863296,172.7869529268793,770.42
A,Threshold Opt.,0.8195993921479982,0.7686445564162342,177.51653618688147,783.17
B,Baseline,0.8151318026972827,0.14458293384467882,25.457823184782665,497.95
B,Class Weights,0.8131329257673786,0.3658107632782272,24.761734871428924,701.41
B,SMOTE,0.7671106402854165,0.341942687011537,24.46108676271967,858.6
B,Focal Loss,0.8135348956373838,0.40046091118595994,27.524919285477036,689.84
B,Threshold Opt.,0.8137046927099241,0.4053640536405364,25.27087641080411,660.64
C,Baseline,0.7940371190507697,0.006349206349206349,3.0,649.54
C,Class Weights,0.7799349012023903,0.14194277108433734,5.491569261496907,652.53
C,SMOTE,0.7299891200913389,0.11938534278959811,4.751484448109678,670.65
C,Focal Loss,0.778696470420333,0.18931297709923664,5.751952894982964,553.12
C,Threshold Opt.,0.7897460586864711,0.17380509000620734,3.2584731177076676,531.0
