Technique,A,B,C
Baseline,0.7571761927521156,0.2300174520069808,0.018848167539267
Class Weights,0.7488540503062285,0.3738747366404903,0.1507668312971146
Combined,0.7693168902987226,0.3911882510013351,0.1649065800162469
Focal Loss,0.7677593340145056,0.4036875303250849,0.1871964679911699
SMOTE,0.7507827235908582,0.3404420921544209,0.1161524500907441
Threshold Opt.,0.7697917351028185,0.398348623853211,0.1764080765143464
