Version,Technique,AUC,F1,Signal_Significance,Train_Time_sec
A,Baseline,0.8189107315252093,0.756224008354624,177.04129838345943,1803.96
A,Class Weights,0.8184690506009042,0.7454269030764911,177.58501773581858,723.62
A,SMOTE,0.8179621805357049,0.7476725490762403,177.55634239846654,1155.61
A,Focal Loss,0.808909517801979,0.762083066463024,170.20857908334324,747.4
A,Threshold Opt.,0.8185774151196425,0.768278029392735,176.95946851349765,761.74
B,Baseline,0.8128702649943313,0.1176701313983134,24.738722659567117,484.99
B,Class Weights,0.8102705871048506,0.36869962709009985,24.630860926619892,687.72
B,SMOTE,0.7659527203383875,0.3413660555884092,24.416845014087894,834.59
B,Focal Loss,0.8095258532795074,0.39795460662061544,27.349602282623675,677.66
B,Threshold Opt.,0.8106536509982915,0.4045589002958065,24.692489230335685,649.03
C,Baseline,0.7852332676805291,0.006355932203389831,3.1333978072025612,637.43
C,Class Weights,0.7708924957534934,0.14227476559315125,5.3517025244319445,639.21
C,SMOTE,0.7278856936653098,0.11512504962286621,4.718116754811421,647.14
C,Focal Loss,0.7859339130230565,0.1877076411960133,4.477667355944951,541.24
C,Threshold Opt.,0.784017757420039,0.15691318327974277,3.0,519.38
