Model,Technique,Version,AUC,F1,Signal_Significance,Train_Time_sec
Random Forest,Baseline,A,0.7606516447796562,0.7196148783873934,169.8559269292175,207.31
Random Forest,Class Weights,A,0.7609474975688879,0.6990983312833525,170.33509280994625,182.76
Random Forest,SMOTE,A,0.7618646687909114,0.7003610807252592,170.30798566911625,330.9
Random Forest,Focal Loss,A,0.7606386714947837,0.7362094037809016,169.8636298989183,156.32
Random Forest,Threshold Opt.,A,0.7606386714947837,0.7362094037809016,169.8636298989183,148.81
Random Forest,Baseline,B,0.7649791505956083,0.0,3.6380343755449935,74.34
Random Forest,Class Weights,B,0.7659334757068812,0.2936117371107943,21.565256295853004,73.63
Random Forest,SMOTE,B,0.7301914538303138,0.2815023474178403,21.794402155391857,191.35
Random Forest,Focal Loss,B,0.7645906095229047,0.3534077284884257,3.837612894400988,62.9
Random Forest,Threshold Opt.,B,0.7645906095229047,0.3534077284884257,3.837612894400988,60.09
Random Forest,Baseline,C,0.7436653775472829,0.0,0.0,61.4
Random Forest,Class Weights,C,0.7547992862346349,0.0844141884629165,4.505817643997688,64.56
Random Forest,SMOTE,C,0.7102768731259933,0.0750085236958745,4.57797221265881,189.02
Random Forest,Focal Loss,C,0.7440101789697553,0.0021186440677966,0.0,47.32
Random Forest,Threshold Opt.,C,0.7440101789697553,0.0021186440677966,0.0,56.62
CatBoost,Baseline,A,0.8181563808284016,0.7543161933280307,178.15467356781733,26.03
CatBoost,Class Weights,A,0.818188855985704,0.7457860137287364,178.29835158062824,26.24
CatBoost,SMOTE,A,0.8166365758185792,0.746514149721228,178.0319552554096,86.61
CatBoost,Focal Loss,A,0.817852624293852,0.7674399030368325,178.20270742030556,23.02
CatBoost,Threshold Opt.,A,0.8181319013344345,0.7669342946092086,178.00002292545298,21.43
CatBoost,Baseline,B,0.8126821489471262,0.2122624596629616,26.246472884510386,12.96
CatBoost,Class Weights,B,0.8123895465618035,0.34941817017188,24.97128096931505,13.69
CatBoost,SMOTE,B,0.7639898492019213,0.3419412288512912,24.45451645174549,24.01
CatBoost,Focal Loss,B,0.8110458901829622,0.3964508212195582,25.128426887448363,12.18
CatBoost,Threshold Opt.,B,0.812341882007561,0.3996650851241975,26.401566733599363,11.61
CatBoost,Baseline,C,0.7943213560999975,0.0126448893572181,3.849741916091625,12.11
CatBoost,Class Weights,C,0.7766457724848058,0.1224915298410216,5.437743214094709,13.32
CatBoost,SMOTE,C,0.7223976852757215,0.1183561643835616,4.693358109515734,23.51
CatBoost,Focal Loss,C,0.760836732269791,0.1709401709401709,5.418368242282288,11.88
CatBoost,Threshold Opt.,C,0.7842530597202657,0.1809100998890122,4.068667356033675,11.62
AdaBoost,Baseline,A,0.8005754600924544,0.7411494080903668,167.41414160697417,1732.91
AdaBoost,Class Weights,A,0.8005754600924544,0.7321812381328733,167.41414160697417,494.34
AdaBoost,SMOTE,A,0.7986910355748299,0.7331168210908396,167.41414160697417,522.82
AdaBoost,Focal Loss,A,0.8005754600924544,0.7321812381328733,167.41414160697417,379.63
AdaBoost,Threshold Opt.,A,0.8000303762153993,0.7401795735129069,167.41414160697417,318.31
AdaBoost,Baseline,B,0.7879557415017027,0.2248299319727891,20.70056822935983,180.65
AdaBoost,Class Weights,B,0.7836489175955896,0.3183713514839342,20.689162350369084,185.33
AdaBoost,SMOTE,B,0.741759202248163,0.3197638497974874,20.683766142029885,509.27
AdaBoost,Focal Loss,B,0.7836489175955896,0.3183713514839342,20.689162350369084,185.25
AdaBoost,Threshold Opt.,B,0.7759644441209411,0.212012084592145,20.69216206944527,160.81
AdaBoost,Baseline,C,0.7077585400960088,0.0367149758454106,4.310034172795772,172.64
AdaBoost,Class Weights,C,0.7097192721616603,0.0913107511045655,4.302548885530839,166.28
AdaBoost,SMOTE,C,0.694351570541236,0.098308515252277,4.295639462338221,520.81
AdaBoost,Focal Loss,C,0.7097192721616603,0.0913107511045655,4.302548885530839,172.91
AdaBoost,Threshold Opt.,C,0.7023455258464447,0.0878057855083248,4.30324267972034,148.52
Voting 3-Model,Baseline,A,0.8189107315252093,0.756224008354624,177.04129838345943,1803.96
Voting 3-Model,Class Weights,A,0.8184690506009042,0.7454269030764911,177.58501773581858,723.62
Voting 3-Model,SMOTE,A,0.8179621805357049,0.7476725490762403,177.55634239846654,1155.61
Voting 3-Model,Focal Loss,A,0.808909517801979,0.762083066463024,170.20857908334324,747.4
Voting 3-Model,Threshold Opt.,A,0.8185774151196425,0.768278029392735,176.95946851349763,761.74
Voting 3-Model,Baseline,B,0.8128702649943313,0.1176701313983134,24.73872265956712,484.99
Voting 3-Model,Class Weights,B,0.8102705871048506,0.3686996270900998,24.63086092661989,687.72
Voting 3-Model,SMOTE,B,0.7659527203383875,0.3413660555884092,24.41684501408789,834.59
Voting 3-Model,Focal Loss,B,0.8095258532795074,0.3979546066206154,27.349602282623675,677.66
Voting 3-Model,Threshold Opt.,B,0.8106536509982915,0.4045589002958065,24.692489230335685,649.03
Voting 3-Model,Baseline,C,0.7852332676805291,0.0063559322033898,3.133397807202561,637.43
Voting 3-Model,Class Weights,C,0.7708924957534934,0.1422747655931512,5.3517025244319445,639.21
Voting 3-Model,SMOTE,C,0.7278856936653098,0.1151250496228662,4.718116754811421,647.14
Voting 3-Model,Focal Loss,C,0.7859339130230565,0.1877076411960133,4.477667355944951,541.24
Voting 3-Model,Threshold Opt.,C,0.784017757420039,0.1569131832797427,3.0,519.38
Voting 4-Model,Baseline,A,0.8197973586710703,0.7564621787573953,177.51820549301868,1829.99
Voting 4-Model,Class Weights,A,0.8195098419228097,0.7467885112438408,178.07941223825037,749.86
Voting 4-Model,SMOTE,A,0.8187054215954748,0.7486129140824078,178.01510751807805,1242.22
Voting 4-Model,Focal Loss,A,0.8152231825713643,0.7663777189863296,172.7869529268793,770.42
Voting 4-Model,Threshold Opt.,A,0.8195993921479982,0.7686445564162342,177.51653618688147,783.17
Voting 4-Model,Baseline,B,0.8151318026972827,0.1445829338446788,25.457823184782665,497.95
Voting 4-Model,Class Weights,B,0.8131329257673786,0.3658107632782272,24.761734871428924,701.41
Voting 4-Model,SMOTE,B,0.7671106402854165,0.341942687011537,24.46108676271967,858.6
Voting 4-Model,Focal Loss,B,0.8135348956373838,0.4004609111859599,27.52491928547704,689.84
Voting 4-Model,Threshold Opt.,B,0.8137046927099241,0.4053640536405364,25.27087641080411,660.64
Voting 4-Model,Baseline,C,0.7940371190507697,0.0063492063492063,3.0,649.54
Voting 4-Model,Class Weights,C,0.7799349012023903,0.1419427710843373,5.491569261496907,652.53
Voting 4-Model,SMOTE,C,0.7299891200913389,0.1193853427895981,4.751484448109678,670.65
Voting 4-Model,Focal Loss,C,0.778696470420333,0.1893129770992366,5.751952894982964,553.12
Voting 4-Model,Threshold Opt.,C,0.7897460586864711,0.1738050900062073,3.258473117707668,531.0
