Version,AUC,F1,Signal_Significance,Train_Time_sec,Best_Threshold
A,0.821537819303539,0.7697917351028185,178.57701883792166,601.89,0.36
B,0.8067949262806892,0.398348623853211,26.038623254505968,583.84,0.19
C,0.7689885456104829,0.17640807651434645,4.060293253991786,458.28,0.1
